data,label
Bio Farma diberi kepercayaan dalam pengembangan vaksin dan obat Virus Covid-19,0
Bio Farma sebagai tempat penelitian dan pengembangan vaksin Covid-19,0
Menuju kemandirian bangsa terutama dalam penanganan Covid-19 pemerintah terus berupaya menemukan dan mengembangkan vaksin virus tersebut yang akan diproduksi sendiri di dalam negeri melalui perusahaan farmasi milik negara lho,1
Pemerintah akan mengalihkan gedung Laboratorium Flu Burung kepada BUMN farmasi Bio Farma sebagai tempat penelitian dan pengembangan vaksin Covid-19,0
Masyarakat harus membiasakan diri karena vaksin lama ditemukan,2
Pemerintah Rusia mengatakan siap memasok obat dan vaksin Covid-19,0
anggaran itu buat nambahin anggaran riset vaksin covid 19,1
Sambil menunggu penemuan vaksin Covid-19 pemerintah Korea Selatan dan Uni Eropa memutuskan menggunakan obat remdesivir sebagai obat Covid-19 Internasional Kompas55,0
Pemerintah Amerika Serikat AS mengucurkan dana sebesar US 1 6 miliar setara Rp23 triliun kepada perusahaan Novanax untuk proyek pengujian komersialisasi dan produksi vaksin covid-19 potensial di negara itu,0
Pemerintah tengah mengembangkan pembuatan vaksin untuk Covid-19,0
Corona itu buatan biar orang dibuat sakit terus disuruh beli vaksinnya,2
Sebagai produsen vaksin plat merah yang rekam jejaknya sudah mendunia Bio Farma diberi amanah oleh pemerintah untuk bisa segera membuat vaksin untuk melawan virus Covid-19 yang menjadi pandemi paling mengerikan dalam sejarah manusia ini,0
Pemerintah Inggris menjajaki rencana pembelian 60 juta dosis vaksin Covid-19 yang diproduksi perusahaan farmasi Sanofi dan GlaxoSmithKline,0
Kenapa pada saat begini IDI tidak mengusulkan kepada pemerintah Indonesia untuk membuat vaksin secara independent dan melakukan penelitian independent terhadap virus COVID-19 dok,1
Harga Vaksin Corona Diperkirakan Rp 75 000 Per Orang Kapan Siap Pemerintah memperkirakan harga vaksin Covid-19 yang diproduksi oleh Indonesia berkisar Rp75 000 per orang,0
Satu-satunya solusi adalah vaksin,1
Pemerintah Jangan Ambil Resiko Buka Sekolah Jika Belum Menemukan Vaksin Covid-19,1
vaksin Covid-19 bertujuan untuk memutus mata rantai dan menyelesaikan masalah virus Corona di Indonesia,1
Pemerintah saat ini masih terus mengembangkan dan mencari vaksin Covid-19 Hal tersebut bertujuan untuk memutus mata rantai dan menyelesaikan masalah virus Corona di Indonesia,1
BERHARAPLAH ANDA TERMASUK ORANG TERPILIH Sebab pemerintah melalui Kementerian Riset dan Teknologi menyatakan bahwa pemberian vaksin Covid-19 hanya akan diberikan pada orang-orang yang terpilih,2
biaya vaksin virus Covid-19 gratis ditanggung semuanya oleh Pemerintah yang telah realokasi APBN sebesar Rp 695 T,1
Berita bagus dari Moderna tersebut disusul berita hari ini terkait AstraZeneca dan Oxford University yang juga akan melangkah pada tahap lanjutan pengembangan vaksin Covid-19 Keduanya didukung penuh oleh Pemerintah Inggris,1
Pemerintah tengah mengembangkan pembuatan vaksin untuk Covid-19,0
Pengembangan vaksin covid-19 Saat ini vaksin covid-19 sudah masuk dalam tahap pengujian dan ditargetkan bisa diproduksi secara masal pada pertengahan tahun 2021,0
terimakasih atas kerja keras pemerintah dalam menyediakan vaksin covid-19,1
Pemerintah gencarkan fase uji klinis vaksin Covid-19 Sebuah upaya dan terobosan positif,1
Optimis pemerintah fokus fase uji klinis vaksin Covid-19 Semoga sukses dan berhasil,1
covid tuh udah ambyar sekarang ramai laqi soal vaksin dari cina,2
optimis pengadaan vaksin Covid-19 untuk Indonesia bisa segera terwujud,1
pemerintah akan menggunakan vaksin Covid-19 yang dibuat oleh Sinovac Biotech perusahaan asal China,0
isu virus corona ladang bisnis bagi pemerintah vaksin rakyat harus beli rapid tes bayar covid 19 hanya lah konspirasi elit global untuk menghancur kan ekonomi dunia,2
Pemerintah gencarkan fase uji klinis vaksin covid-19,0
Kalau harga vaksin per-dosis 73 ribu sampe 147 ribu semoga pemerintah kasih vaksin gratis lah jangan rakyat suruh beli lagi Tapi kalau ngeliat kelakuan pemerintah selama menangani COVID-19 kayanya rakyat bakal rogoh kocek sendiri nih,2
ga usah bikin vaksin covid ga usah ada satgas dan ga usah ada penanganan covid lagi warga aja udh ga peduli,2
Alhamdulillah berkat kerja keras pemerintah dgn semua jajarannya sebentar lg vaksin covid-19 bisa diproduksi masal dan kita bisa kembali hidup normal terimakasih Bpk Presiden ku Jokowi,1
Selain kandidat vaksin dari China ternyata pemerintah juga akan mendatangkan kandidat vaksin COVID-19 dari Inggris,0
virus ini bisa konspirasi politik atau ekonomi agar penangannya pas bisa saja ini agenda bisnis vaksin,2
vaksin ini tidak akan perbaiki situasi cuma beri false sense of security,2
Pemerintah mau membunuh rakyatnya dgn vaksin tolak vaksin,2
Vaksin belum sempurna sudah divaksin masih positif covid Vaksin dari cina mengandung babi Vaksin cuma akal-akalan pemerintah malak duit masyarakat,2
gak percaya vaksin karena menjadi proyek percobaan,2
vaksin kelinci percobaan,2
covid dijadiin kelinci percobaan aja buat nguji vaksin,2
Kita punya hak untuk menolak vaksin COVID dari China,2
Kita tidak tahu virus COVID-19 dari China kandungan sebenarnya apa Knapa China tidak uji coba ke rakyatnya dlu Bisa saja dikatakan vaksin tapi sebenarnya virus yg berbahaya yang bisa membuat sakit mematikan kita Kita tahu di rezim ini China begitu dekat dg pemerintah,2
vaksin yg sudah teruji secara klinis bisa mengurangi penambahan pasien positif covid,1
Pemerintah berharap vaksin Covid-19 produksi Sinovac bisa diproduksi oleh Bio Farma,0
dukung program vaksinasi Vaksin Pandemi Indonesia,1
Pelaku Usaha Pariwisata di Tangsel Siap Jalani Vaksinasi Covid-19,1
Walaupun sudah mendapatkan vaksin tetap patuhi protokol kesehatan ya,1
Prgram Vaksinasi menjadi kunci membentuk kekebalan terhadap virus,1
Program vaksinasi merupakan satu dari sejumlah strategi untuk mengatasi pandemi Covid-19,1
Dukung Indonesia bebas Covid-19 dengan vaksinasi,1
Vaksinasi mempercepat penanganan Covid-19 dan Pemulihan Ekonomi Nasional,1
Pemerintah pastikan keamanan vaksin COVID-19 untuk masyarakat Indonesia,0
Vaksinasi COVID-19 bagi lansia akan dilakukan secara bertahap,0
Pemerintah sudah siap melakukan vaksinasi bagi lansia,0
Dukung pelaksanaan vaksinasi mandiri,1
Tiada rasa demam selera pun macam biasa dua hari selepas disuntik vaksin TSMY,1
Ketua Ikatan Bidan Indonesia IBI Bandar Lampung Elya Eva mengatakan mendukung program vaksinasi anak usia balita,1
39 orang tahanan KPK terkait kasus korupsi diketahui telah menerima suntikan vaksinasi Covid-19,0
Jangan takut vaksin ya,1
Wakil Presiden Wapres Ma ruf Amin mengatakan Pemerintah menjamin ketersediaan vaksin COVID-19,0
Alhamdulillaah vaksin tahap 1 sudah terlewati Semoga selalu dlm lindungan Allah,1
Vaksinasi Covid-19 Tahap II di Pangandaran Butuh Ratusan Ribu Dosis vaksinasi vaksin,0
Sebanyak sebelas ribu pelayan Publik Guru Tokoh Agama dan Wartawan saat ini tengah menerima vaksin gelombang pertama,0
Vaksin bukan hanya untuk kepentingan pribadi melainkan kepentingan bersama mari kita dukung program vaksin,1
tidak ada alasan untuk takut vaksin karena vaksin bertujuan untuk meningkatkan imun indonesiasehat Vaksin,1
yuk bersama dukung vaksin untuk melawan covid indonesiasehat Vaksin Vaksinasi,1
vaksin tujuanya untuk meningkatkan imun dari covid mari kita dukung indonesiasehat Vaksin Vaksinasi,1
masyarakat kuat bersama dengan adanya program vaksin indonesiasehat Vaksin Vaksinasi,1
vaksin untuk melindungi masyarakat dan diri kita sendiri indonesiasehat Vaksin Vaksinasi,1
jika memiliki kepedulian mari dukung vaksin untuk orang yang tercinta indonesiasehat Vaksin Vaksinasi,1
Riset vaksin dilakukan dengan jalan yang panjang dan vaksin juga dibuat sesuai dengan kebutuhan mari kita dukung,1
vaksinasi merupakan langkah preventif yang efektif untuk melawan covid indonesiasehat Vaksin Vaksinasi,1
jangan sampai orang tercinta terkena covid dukung vaksin utuk keluarga yang sehat indonesiasehat Vaksin,1
keluarga yang sehat aware dengan kesehatan mari kita dukung vaksinasi indonesiasehat Vaksin Vaksinasi,1
program vaksin bertujuan baik agar masyarakat terbebas dari covid19 indonesiasehat Vaksin Vaksinasi,1
jangan mau kalah sama covid tetap konsisten menjalankan prokes dan mengdukungi program vaksin untuk perangi covid,1
jangan sampai kecolongan yuk kita terus menjaga kesehatan dan dukung progaram vaksinasi indonesiasehat Vaksin,1
vaksin itu tujuanya baik jangan sampai gak vaksin yah indonesiasehat Vaksin Vaksinasi,1
vaksin aman dan halal merupakan salah satu usaha kita untuk melindungi keluarga dari ancaman covid19,1
Satu suntikan untuk perlindungan diri Tak perlu takut Berusaha lebih baik dari menyerah vaksin kitajagakita,1
Vaksinasi untuk masyarakat umum akan menggunakan sistem data satu vaksinasi covid-19,0
Vaksinasi Lansia Prioritas di Bandar Lampung Khusus untuk penerima vaksin warga lansia terdata sebanyak 34592 orang,0
menuju Indonesia bebas COVID-19 vaksinasi atlet bebascovid19,1
Vaksinasi Guru Tuntas Kota Malang Siapkan Sekolah Tatap Muka Juli,0
Banyak negara termasuk sudah mulai menerima Vaksin COVID19 Semoga proses vaksinasi lancar dan berhasil,1
khawatir tentang pemberian vaksin ini,2
ASN Wanita Pingsan Setelah Divaksin Covid-19 Sempat Alami Muntah dan Pusing vaksinasi,2
Target Vaksinasi Tahap II Kota Batu Tuntas Awal Maret,0
Pemerintah mulai melakukan vaksinasi Covid-19 kepada atlet pelatih dan tenaga pendukung pada hari ini Jumat 26,0
Wartawan Pringsewu masuk dalam prioritas vaksinasi tahap ke II oleh Dinas Kesehatan Kabupaten Pringsewu,0
Saya sudah di vaksin covid-19,1
Wakil Presiden Ma ruf Amin menyatakan pemerintah saat ini masih menyusun regulasi tentang pelaksanaan vaksin covid,0
semoga kita semua bisa segera mendapatkan giliran untuk vaksinasi Covid-19,1
Ribuan Perusahaan Swasta Daftar Vaksinasi Mandiri perusahaan swasta vaksinasi mandiri,0
Vaksin AMAN dan HALAL,1
Sebagaian masyarakat bertanya-tanya orang sudah divaksin justru malah kena covid-19 Vaksin,2
ayo sedulur semua putus Covid-19 dengan disiplin 5M vaksinasi vaksinasicovid19,1
"DUKUNG VAKSINASI NASIONAL COVID 19 UNTUK KESEHATAN IMUNITAS MASYARAKAT vaksinasi vaksinasicovid19
",1
SIAP DIVAKSIN PATUH 5M MERUPAKAN KUNCI AGAR TERBEBAS PANDEMI VIRUS COVID-19 vaksinasi vaksinasicovid19,1
VAKSINASI COVID-19 JADI HARAPAN MEMULIHKAN BISNIS MEDIA vaksinasi vaksinasicovid19,1
jangan sampai lengah covid angkanya belum berkurang mari kita selalu disiplin prokes dan dukung program vaksinasi,1
jangan sampai kecolongan yuk kita terus menjaga kesehatan dan dukung progaram vaksinasi indonesiasehat Vaksin,1
vaksin itu tujuanya baik jangan sampai gak vaksin yah indonesiasehat Vaksin Vaksinasi,1
vaksin aman dan halal merupakan salah satu usaha kita untuk melindungi keluarga dari ancaman covid19,1
mari kita tangkal covid dengan vaksinasi indonesiasehat Vaksin Vaksinasi,1
Jangan Patah semangat pertahankan prokes dan dukung program vaksin sebagai upaya melawan corona indonesiasehat,1
vaksin itu bukan obat melainkan membuat tubuh kita lebih kuat menghadapi covid19 mari kita dukung vaksinasi,1
vaksinasi langkah terbaik dalam menghadapi covid 19 mari dukung vaksinasi indonesiasehat Vaksin Vaksinasi,1
Vaksin yang ada di Indonesia sudah diperiksa terlebih dahulu sebelum digunakan mari kita dukung vaksin,1
vaksin itu sangat baik karena bisa membuat tubuh kita lebih kuat dari covid19 indonesiasehat Vaksin Vaksinasi,1
60 Karyawan UIN Maliki Malang Mulai Vaksinasi Covid-19 Perdana infoUINmaliki vaksinasi,0
masih ragu - ragu untuk menerima vaksin,2
Aku sudah vaksin Alhamdulillah lancar,1
KEBUT VAKSINASI KEBUT PEMULIHAN EKONOMI vaksin covid19,1
Mari sukseskan vaksinasi covid agar anak2 sudah bisa segera sekolah bertatap muka,1
Vaksinasi penting dilakukan untuk menghadapi panderni dengan melaksanakan vaksinasi maka tubuh kita akan membentuk imun,1
Presiden Jokowi yakin peran ulama mengajak masyarakat agar mau divaksin akan signifikan Ulama NU Vaksin,0
Komersialisasi Vaksin rbayar ini ibarat ruang bas asap rokok sekali ada ngerokok rusak semuanya vaksin ,2
Stok terbatas dan tingginya permintaan maka harga akan meroket vaksin,2
Vaksinasi Covid Berjalan Masif Rakyat Indonesia Patut Bersyukur Vaksin vaksincovid19 Vaksinasi Nasional,1
vaksin itu bukan hanya untuk anak muda tetapi orangtua mari kita sayang orangtua dengan iut vaksinasi,1
vaksin merupakan ikhtiar kita dalam melawan covid mari kita support indonesiasehat Vaksin Vaksinasi,1
vaksin teruji ampuh dalam menghadapi covid mari kita dukung vaksin indonesiasehat Vaksin Vaksinasi,1
mari kita dukung Tenaga kesehatan Indonesia dengan ikuti protokol kesehatan dan mendukung program vaksinasi,1
Pemkot Bogor melakukan vaksinasi Covid-19 tahap kedua mulai Senin 1 Maret 2021,0
Vaksin yang diberikan kepada tenaga kesehatan terbukti menurunkan tingkat infeksi di berbagai provinsi vaksinasi,1
Dukung pelaksanaan vaksinasi mandiri Vaksin VaksinasiCovid19 VaksinUntukRakyatIndonesia,1
Akhirnya divaksin sinovac covid 19 vaksin,1
Menkes Telat Vaksin Ratusan Ribu Nyawa Terancam Mati Kena Corona KemenkesRI Vaksin vaksincovid19 Corona,0
Sejak bulan lalu sudah daftarkan vaksin utk para staf dan karyawan selanjutnya menunggu dan hingga hari ini masih menunggu vaksin,1
